SITE CODE= EEB熊本西区春日              ,32.7755,130.8495,  8,5.8,42474.9219329,  3.09,  5.24
 LAT.=   32.7866
 LON.=  130.6876
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2016 04 14 22 06 10
 NS,EW,UD
-0.080,0.038,-0.018
-0.086,0.107,-0.046
-0.091,0.107,-0.052
-0.090,0.031,-0.034
-0.084,-0.060,-0.004
-0.079,-0.093,0.020
-0.084,-0.040,0.037
-0.097,0.053,0.055
-0.115,0.119,0.075
-0.126,0.118,0.082
-0.132,0.064,0.064
-0.133,0.010,0.024
-0.126,-0.013,-0.021
-0.102,-0.008,-0.050
-0.067,-0.005,-0.051
-0.044,-0.022,-0.026
-0.048,-0.048,0.014
-0.071,-0.055,0.046
-0.088,-0.034,0.057
-0.093,-0.007,0.042
-0.098,0.003,0.016
-0.107,-0.005,0.004
-0.101,-0.002,0.010
-0.063,0.030,0.020
-0.014,0.082,0.016
-0.004,0.109,-0.004
-0.048,0.078,-0.021
-0.105,0.009,-0.017
-0.122,-0.047,0.007
-0.096,-0.039,0.028
-0.078,0.020,0.030
-0.098,0.075,0.014
-0.134,0.072,-0.004
-0.137,0.020,-0.004
-0.106,-0.031,0.014
